timestamp_iso,gx_dps,gy_dps,gz_dps
2025-08-27T11:43:50.823466+00:00,-764.16,590.149,91.675
2025-08-27T11:43:51.057364+00:00,-1450.256,178.101,373.413
2025-08-27T11:43:51.392582+00:00,-1338.562,-437.988,234.192
2025-08-27T11:43:51.758256+00:00,-632.08,-600.525,-64.758
2025-08-27T11:43:51.989889+00:00,-755.066,-362.976,-553.955
2025-08-27T11:43:52.283184+00:00,-439.575,-267.09,-716.797
2025-08-27T11:43:52.511450+00:00,-860.291,268.433,-740.662
2025-08-27T11:43:53.031419+00:00,-796.692,655.945,-473.755
2025-08-27T11:43:53.332720+00:00,-580.933,771.24,-86.182
2025-08-27T11:43:53.583086+00:00,-750.244,656.921,201.233
2025-08-27T11:43:53.968364+00:00,-1453.552,93.689,589.172
2025-08-27T11:43:54.382126+00:00,-1115.234,-680.176,225.586
2025-08-27T11:43:54.614657+00:00,-1129.761,-688.354,-513.367
2025-08-27T11:43:55.015169+00:00,-483.154,-506.592,-880.188
2025-08-27T11:43:55.470825+00:00,-1022.278,96.68,-902.893
2025-08-27T11:43:55.716504+00:00,-760.62,682.129,-455.444
2025-08-27T11:43:56.068569+00:00,-584.29,716.553,-133.972
2025-08-27T11:43:56.497788+00:00,-881.592,509.521,242.859
2025-08-27T11:43:56.819362+00:00,-1283.569,-45.837,568.054
2025-08-27T11:43:57.119545+00:00,-1222.351,-653.198,275.146
2025-08-27T11:43:57.357448+00:00,-783.936,-769.958,-508.362
2025-08-27T11:43:57.645756+00:00,-668.274,-570.251,-831.604
2025-08-27T11:43:57.881013+00:00,-981.445,231.689,-822.937
2025-08-27T11:43:58.169921+00:00,-688.232,622.009,-368.652
2025-08-27T11:43:58.402807+00:00,-619.568,575.195,-89.966
2025-08-27T11:43:58.697043+00:00,-791.26,409.302,246.277
2025-08-27T11:43:58.942612+00:00,-984.924,142.151,453.796
2025-08-27T11:43:59.223857+00:00,-938.538,-387.817,433.655
2025-08-27T11:43:59.622744+00:00,-861.572,-664.368,75.806
2025-08-27T11:43:59.867074+00:00,-564.209,-715.759,-353.76
2025-08-27T11:44:00.265854+00:00,-691.406,-445.862,-630.249
2025-08-27T11:44:00.694952+00:00,-782.166,34.973,-680.725
2025-08-27T11:44:01.207120+00:00,-555.664,404.114,-438.66
2025-08-27T11:44:01.445681+00:00,-380.249,411.377,-201.721
2025-08-27T11:44:01.796241+00:00,-309.875,306.641,-8.301
2025-08-27T11:44:02.144443+00:00,-286.316,195.251,92.529
2025-08-27T11:44:02.552690+00:00,-266.907,29.785,152.161
2025-08-27T11:44:02.915500+00:00,-210.693,-259.399,60.791
2025-08-27T11:44:03.253714+00:00,-125.061,-422.119,-134.277
2025-08-27T11:44:03.601025+00:00,-33.02,-462.952,-397.522
2025-08-27T11:44:03.842400+00:00,204.285,-374.695,-518.86
2025-08-27T11:44:04.125807+00:00,282.715,-248.169,-447.449
2025-08-27T11:44:04.348601+00:00,383.24,-132.874,-229.492
2025-08-27T11:44:04.649396+00:00,500.366,-69.824,342.407
2025-08-27T11:44:04.893285+00:00,365.54,-83.069,671.875
2025-08-27T11:44:05.175813+00:00,148.621,-77.881,684.204
2025-08-27T11:44:05.422813+00:00,-263.184,-336.121,515.015
2025-08-27T11:44:05.699342+00:00,-307.922,-512.329,182.251
2025-08-27T11:44:05.934743+00:00,20.447,-424.988,-98.816
2025-08-27T11:44:06.222994+00:00,138.062,-296.326,-209.229
2025-08-27T11:44:06.456706+00:00,-163.33,-280.518,-327.881
2025-08-27T11:44:06.746588+00:00,-358.459,-138.55,-438.416
2025-08-27T11:44:07.043528+00:00,-242.004,-17.822,90.82
2025-08-27T11:44:07.392066+00:00,-520.691,145.447,260.132
2025-08-27T11:44:07.635170+00:00,-119.141,281.738,255.798
2025-08-27T11:44:07.965016+00:00,-344.788,462.158,234.375
2025-08-27T11:44:08.321413+00:00,-302.551,514.709,146.24
2025-08-27T11:44:08.592742+00:00,-223.572,583.374,60.547
2025-08-27T11:44:09.067818+00:00,-403.015,478.638,-63.904
2025-08-27T11:44:09.368254+00:00,-498.901,387.329,94.788
2025-08-27T11:44:09.620209+00:00,-446.96,160.767,146.667
2025-08-27T11:44:10.423763+00:00,-121.887,59.998,44.25
2025-08-27T11:44:10.665217+00:00,57.495,-58.655,-383.545
2025-08-27T11:44:10.942058+00:00,109.253,119.08,-651.855
2025-08-27T11:44:11.184468+00:00,210.327,69.824,-631.836
2025-08-27T11:44:11.465838+00:00,133.545,44.8,-572.571
2025-08-27T11:44:11.704230+00:00,146.851,-12.085,-494.751
2025-08-27T11:44:11.989264+00:00,7.08,-2.625,-124.634
2025-08-27T11:44:12.276376+00:00,27.344,-47.791,401.184
2025-08-27T11:44:12.632808+00:00,-344.666,-197.998,788.513
2025-08-27T11:44:12.870414+00:00,-382.324,-375.0,811.157
2025-08-27T11:44:13.163899+00:00,-475.83,-393.921,630.676
2025-08-27T11:44:13.562809+00:00,-660.461,-249.817,244.202
2025-08-27T11:44:13.806597+00:00,-839.966,0.488,-127.747
2025-08-27T11:44:14.206914+00:00,121.094,-44.983,-175.781
2025-08-27T11:44:14.622494+00:00,-151.001,195.19,4.761
2025-08-27T11:44:14.947517+00:00,-44.067,381.653,329.956
2025-08-27T11:44:15.251484+00:00,162.903,440.308,543.03
2025-08-27T11:44:15.504737+00:00,330.933,407.227,428.101
2025-08-27T11:44:15.906169+00:00,659.973,132.019,-44.495
2025-08-27T11:44:16.296739+00:00,174.805,64.148,-243.896
2025-08-27T11:44:16.532919+00:00,-124.695,-40.833,-74.707
2025-08-27T11:44:16.823821+00:00,-219.91,-103.333,179.565
2025-08-27T11:44:17.062243+00:00,-114.441,-425.476,65.002
2025-08-27T11:44:17.385647+00:00,90.82,-276.367,560.12
2025-08-27T11:44:17.755646+00:00,-363.403,-256.409,369.263
2025-08-27T11:44:18.000428+00:00,-333.13,125.61,25.574
2025-08-27T11:44:18.390350+00:00,-109.375,179.871,-152.405
